ลำดับ,ชื่อโรงพยาบาล,ชื่อย่อ_คำค้นหา,ประเภทโรงพยาบาล,เขตสุขภาพ,จังหวัด,อำเภอ,ละติจูด_Lat,ลองจิจูด_Lng
11,ศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี,"รพ.มศว องครักษ์, ศูนย์การแพทย์ มศว องครักษ์, คณะแพทยศาสตร์ มศว",โรงพยาบาลมหาวิทยาลัย,4,นครนายก,องครักษ์,14.113523,100.985612
12,โรงพยาบาลมหาวิทยาลัยบูรพา,"รพ.ม.บูรพา, รพ.บูรพา, คณะแพทยศาสตร์ มหาวิทยาลัยบูรพา",โรงพยาบาลมหาวิทยาลัย,6,ชลบุรี,เมืองชลบุรี,13.284512,100.925412
13,โรงพยาบาลสุทธาเวช,"รพ.สุทธาเวช, คณะแพทยศาสตร์ มหาวิทยาลัยมหาสารคาม",โรงพยาบาลมหาวิทยาลัย,7,มหาสารคาม,เมืองมหาสารคาม,16.198512,103.279812
14,โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี,"รพ.มทส., สำนักวิชาแพทยศาสตร์ มทส.",โรงพยาบาลมหาวิทยาลัย,9,นครราชสีมา,เมืองนครราชสีมา,14.876523,102.015412
15,โรงพยาบาลราชวิถี,"รพ.ราชวิถี, ราชวิถี",โรงพยาบาลศูนย์/เฉพาะทาง,13,กรุงเทพมหานคร,ราชเทวี,13.765123,100.536789
16,โรงพยาบาลเลิดสิน,"รพ.เลิดสิน, เลิดสิน",โรงพยาบาลศูนย์/เฉพาะทาง,13,กรุงเทพมหานคร,บางรัก,13.722412,100.518623
17,โรงพยาบาลนพรัตนราชธานี,"รพ.นพรัตนราชธานี, รพ.นพรัตน์",โรงพยาบาลศูนย์,13,กรุงเทพมหานคร,คันนายาว,13.821523,100.689412
18,โรงพยาบาลสงฆ์,รพ.สงฆ์,โรงพยาบาลเฉพาะทาง,13,กรุงเทพมหานคร,ราชเทวี,13.762412,100.528712
19,สถาบันบำราศนราดูร,"รพ.บำราศนราดูร, บำราศนราดูร",สถาบันเฉพาะทาง,4,นนทบุรี,เมืองนนทบุรี,13.856412,100.521823
20,โรงพยาบาลกลาง,"รพ.กลาง, กลาง",โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,13.748523,100.509812
21,โรงพยาบาลตากสิน,"รพ.ตากสิน, ตากสิน",โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,คลองสาน,13.728512,100.507423
22,โรงพยาบาลเจริญกรุงประชารักษ์,"รพ.เจริญกรุงประชารักษ์, รพ.เจริญกรุง",โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,บางคอแหลม,13.699812,100.493212
23,โรงพยาบาลสิรินธร,"รพ.สิรินธร, สิรินธร",โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,ประเวศ,13.715423,100.697512
24,โรงพยาบาลราชพิพัฒน์,รพ.ราชพิพัฒน์,โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,ทวีวัฒนา,13.746512,100.354123
25,โรงพยาบาลเวชการุณย์รัศมิ์,"รพ.เวชการุณย์รัศมิ์, รพ.หนองจอก",โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,หนองจอก,13.856412,100.865412
26,โรงพยาบาลหลวงพ่อทวีศักดิ์ ชุตินฺธโร อุทิศ,รพ.หลวงพ่อทวีศักดิ์,โรงพยาบาลสังกัด กทม.,13,กรุงเทพมหานคร,หนองแขม,13.674512,100.345612
27,โรงพยาบาลนครพิงค์,"รพ.นครพิงค์, นครพิงค์",โรงพยาบาลศูนย์,1,เชียงใหม่,แม่ริม,18.846512,98.968723
28,โรงพยาบาลเชียงรายประชานุเคราะห์,"รพ.เชียงรายประชานุเคราะห์, รพ.เชียงราย",โรงพยาบาลศูนย์,1,เชียงราย,เมืองเชียงราย,19.904512,99.832412
29,โรงพยาบาลลำปาง,"รพ.ลำปาง, ลำปาง",โรงพยาบาลศูนย์,1,ลำปาง,เมืองลำปาง,18.291245,99.508712
30,โรงพยาบาลลำพูน,"รพ.ลำพูน, ลำพูน",โรงพยาบาลทั่วไป,1,ลำพูน,เมืองลำพูน,18.574512,99.012541
31,โรงพยาบาลแพร่,"รพ.แพร่, แพร่",โรงพยาบาลทั่วไป,1,แพร่,เมืองแพร่,18.145612,100.141254
32,โรงพยาบาลน่าน,"รพ.น่าน, น่าน",โรงพยาบาลทั่วไป,1,น่าน,เมืองน่าน,18.784512,100.778512
33,โรงพยาบาลพะเยา,"รพ.พะเยา, พะเยา",โรงพยาบาลทั่วไป,1,พะเยา,เมืองพะเยา,19.168512,99.902512
34,โรงพยาบาลศรีสังวาลย์,"รพ.ศรีสังวาลย์, รพ.แม่ฮ่องสอน",โรงพยาบาลทั่วไป,1,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,19.301245,97.965412
35,โรงพยาบาลสันทราย,รพ.สันทราย,โรงพยาบาลชุมชน,1,เชียงใหม่,สันทราย,18.874512,99.034512
36,โรงพยาบาลสันป่าตอง,รพ.สันป่าตอง,โรงพยาบาลชุมชน,1,เชียงใหม่,สันป่าตอง,18.625412,98.895412
37,โรงพยาบาลฝาง,รพ.ฝาง,โรงพยาบาลชุมชน/แม่ข่าย,1,เชียงใหม่,ฝาง,19.914512,99.214512
38,โรงพยาบาลจอมทอง,รพ.จอมทอง,โรงพยาบาลชุมชน/แม่ข่าย,1,เชียงใหม่,จอมทอง,18.421523,98.675412
39,โรงพยาบาลพุทธชินราช พิษณุโลก,"รพ.พุทธชินราช, พุทธชินราช, รพ.พิษณุโลก",โรงพยาบาลศูนย์,2,พิษณุโลก,เมืองพิษณุโลก,16.815612,100.264512
40,โรงพยาบาลอุตรดิตถ์,"รพ.อุตรดิตถ์, อุตรดิตถ์",โรงพยาบาลศูนย์,2,อุตรดิตถ์,เมืองอุตรดิตถ์,17.625412,100.098512
41,โรงพยาบาลสุโขทัย,"รพ.สุโขทัย, สุโขทัย",โรงพยาบาลทั่วไป,2,สุโขทัย,เมืองสุโขทัย,17.012541,99.824512
42,โรงพยาบาลศรีสังวรสุโขทัย,"รพ.ศรีสังวร, ศรีสังวร",โรงพยาบาลทั่วไป,2,สุโขทัย,ศรีสำโรง,17.154512,99.856412
43,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,"รพ.สมเด็จพระเจ้าตากสินมหาราช, รพ.ตาก",โรงพยาบาลทั่วไป,2,ตาก,เมืองตาก,16.884512,99.124512
44,โรงพยาบาลแม่สอด,"รพ.แม่สอด, แม่สอด",โรงพยาบาลทั่วไป,2,ตาก,แม่สอด,16.715412,98.574512
45,โรงพยาบาลเพชรบูรณ์,"รพ.เพชรบูรณ์, เพชรบูรณ์",โรงพยาบาลทั่วไป,2,เพชรบูรณ์,เมืองเพชรบูรณ์,16.425412,101.156412
46,โรงพยาบาลสวรรค์ประชารักษ์,"รพ.สวรรค์ประชารักษ์, สวรรค์ประชารักษ์, รพ.นครสวรรค์",โรงพยาบาลศูนย์,3,นครสวรรค์,เมืองนครสวรรค์,15.704512,100.134512
47,โรงพยาบาลพิจิตร,"รพ.พิจิตร, พิจิตร",โรงพยาบาลทั่วไป,3,พิจิตร,เมืองพิจิตร,16.441254,100.354123
48,โรงพยาบาลกำแพงเพชร,"รพ.กำแพงเพชร, กำแพงเพชร",โรงพยาบาลทั่วไป,3,กำแพงเพชร,เมืองกำแพงเพชร,16.484512,99.524512
49,โรงพยาบาลชัยนาทนเรนทร,"รพ.ชัยนาทนเรนทร, รพ.ชัยนาท",โรงพยาบาลทั่วไป,3,ชัยนาท,เมืองชัยนาท,15.184512,100.124512
50,โรงพยาบาลอุทัยธานี,"รพ.อุทัยธานี, อุทัยธานี",โรงพยาบาลทั่วไป,3,อุทัยธานี,เมืองอุทัยธานี,15.384512,100.024512
51,โรงพยาบาลพระนครศรีอยุธยา,"รพ.พระนครศรีอยุธยา, รพ.อยุธยา",โรงพยาบาลศูนย์,4,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.354123,100.578512
52,โรงพยาบาลสระบุรี,"รพ.สระบุรี, สระบุรี",โรงพยาบาลศูนย์,4,สระบุรี,เมืองสระบุรี,14.524512,100.912541
53,โรงพยาบาลพระนั่งเกล้า,"รพ.พระนั่งเกล้า, รพ.นนทบุรี",โรงพยาบาลศูนย์,4,นนทบุรี,เมืองนนทบุรี,13.868512,100.478512
54,โรงพยาบาลปทุมธานี,"รพ.ปทุมธานี, ปทุมธานี",โรงพยาบาลทั่วไป,4,ปทุมธานี,เมืองปทุมธานี,14.015412,100.524512
55,โรงพยาบาลพระนารายณ์มหาราช,"รพ.พระนารายณ์มหาราช, รพ.ลพบุรี",โรงพยาบาลศูนย์,4,ลพบุรี,เมืองลพบุรี,14.795412,100.654123
56,โรงพยาบาลสิงห์บุรี,"รพ.สิงห์บุรี, สิงห์บุรี",โรงพยาบาลทั่วไป,4,สิงห์บุรี,เมืองสิงห์บุรี,14.894512,100.398512
57,โรงพยาบาลอ่างทอง,"รพ.อ่างทอง, อ่างทอง",โรงพยาบาลทั่วไป,4,อ่างทอง,เมืองอ่างทอง,14.584512,100.454123
58,โรงพยาบาลนครนายก,"รพ.นครนายก, นครนายก",โรงพยาบาลทั่วไป,4,นครนายก,เมืองนครนายก,14.204512,101.214512
59,โรงพยาบาลราชบุรี,"รพ.ราชบุรี, ราชบุรี",โรงพยาบาลศูนย์,5,ราชบุรี,เมืองราชบุรี,13.534512,99.814512
60,โรงพยาบาลนครปฐม,"รพ.นครปฐม, นครปฐม",โรงพยาบาลศูนย์,5,นครปฐม,เมืองนครปฐม,13.818512,100.064512
61,โรงพยาบาลพหลพลพยุหเสนา,"รพ.พหลพลพยุหเสนา, รพ.กาญจนบุรี",โรงพยาบาลศูนย์,5,กาญจนบุรี,เมืองกาญจนบุรี,14.015412,99.534512
62,โรงพยาบาลเจ้าพระยายมราช,"รพ.เจ้าพระยายมราช, รพ.สุพรรณบุรี",โรงพยาบาลศูนย์,5,สุพรรณบุรี,เมืองสุพรรณบุรี,14.474512,100.114512
63,โรงพยาบาลสมุทรสาคร,"รพ.สมุทรสาคร, สมุทรสาคร",โรงพยาบาลทั่วไป,5,สมุทรสาคร,เมืองสมุทรสาคร,13.547512,100.274512
64,โรงพยาบาลสมเด็จพระพุทธเลิศหล้า,"รพ.สมเด็จพระพุทธเลิศหล้า, รพ.สมุทรสงคราม",โรงพยาบาลทั่วไป,5,สมุทรสงคราม,เมืองสมุทรสงคราม,13.412541,99.998512
65,โรงพยาบาลพระจอมเกล้า,"รพ.พระจอมเกล้า, รพ.เพชรบุรี",โรงพยาบาลทั่วไป,5,เพชรบุรี,เมืองเพชรบุรี,13.114512,99.941254
66,โรงพยาบาลประจวบคีรีขันธ์,"รพ.ประจวบคีรีขันธ์, รพ.ประจวบ",โรงพยาบาลทั่วไป,5,ประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,11.812541,99.794512
67,โรงพยาบาลหัวหิน,"รพ.หัวหิน, หัวหิน",โรงพยาบาลทั่วไป,5,ประจวบคีรีขันธ์,หัวหิน,12.594512,99.954123
68,โรงพยาบาลบ้านโป่ง,"รพ.บ้านโป่ง, บ้านโป่ง",โรงพยาบาลทั่วไป,5,ราชบุรี,บ้านโป่ง,13.814512,99.874512
69,โรงพยาบาลดำเนินสะดวก,รพ.ดำเนินสะดวก,โรงพยาบาลทั่วไป,5,ราชบุรี,ดำเนินสะดวก,13.518512,100.014512
70,โรงพยาบาลชลบุรี,"รพ.ชลบุรี, ชลบุรี",โรงพยาบาลศูนย์,6,ชลบุรี,เมืองชลบุรี,13.354123,100.984512
71,โรงพยาบาลระยอง,"รพ.ระยอง, ระยอง",โรงพยาบาลศูนย์,6,ระยอง,เมืองระยอง,12.684512,101.278512
72,โรงพยาบาลพระปกเกล้า,"รพ.พระปกเกล้า, รพ.จันทบุรี",โรงพยาบาลศูนย์,6,จันทบุรี,เมืองจันทบุรี,12.614512,102.108512
73,โรงพยาบาลสมุทรปราการ,"รพ.สมุทรปราการ, สมุทรปราการ",โรงพยาบาลทั่วไป,6,สมุทรปราการ,เมืองสมุทรปราการ,13.598512,100.598512
74,โรงพยาบาลพุทธโสธร,"รพ.พุทธโสธร, รพ.ฉะเชิงเทรา",โรงพยาบาลศูนย์,6,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,13.684512,101.074512
75,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,"รพ.เจ้าพระยาอภัยภูเบศร, รพ.อภัยภูเบศร, รพ.ปราจีนบุรี",โรงพยาบาลศูนย์,6,ปราจีนบุรี,เมืองปราจีนบุรี,14.054123,101.374512
76,โรงพยาบาลสมเด็จพระยุพราชสระแก้ว,"รพ.สมเด็จพระยุพราชสระแก้ว, รพ.สระแก้ว",โรงพยาบาลทั่วไป,6,สระแก้ว,เมืองสระแก้ว,13.814512,102.064512
77,โรงพยาบาลตราด,"รพ.ตราด, ตราด",โรงพยาบาลทั่วไป,6,ตราด,เมืองตราด,12.241254,102.514512
78,โรงพยาบาลบางละมุง,"รพ.บางละมุง, บางละมุง",โรงพยาบาลทั่วไป,6,ชลบุรี,บางละมุง,12.974512,100.914512
79,โรงพยาบาลพะเยาพนมสารคาม,รพ.พนมสารคาม,โรงพยาบาลชุมชน,6,ฉะเชิงเทรา,พนมสารคาม,13.748512,101.345612
80,โรงพยาบาลขอนแก่น,"รพ.ขอนแก่น, ขอนแก่น, รพศ.ขอนแก่น",โรงพยาบาลศูนย์,7,ขอนแก่น,เมืองขอนแก่น,16.432541,102.836412
81,โรงพยาบาลร้อยเอ็ด,"รพ.ร้อยเอ็ด, ร้อยเอ็ด",โรงพยาบาลศูนย์,7,ร้อยเอ็ด,เมืองร้อยเอ็ด,16.054123,103.654123
82,โรงพยาบาลกาฬสินธุ์,"รพ.กาฬสินธุ์, กาฬสินธุ์",โรงพยาบาลทั่วไป,7,กาฬสินธุ์,เมืองกาฬสินธุ์,16.432541,103.508512
83,โรงพยาบาลมหาสารคาม,"รพ.มหาสารคาม, มหาสารคาม",โรงพยาบาลทั่วไป,7,มหาสารคาม,เมืองมหาสารคาม,16.184512,103.298512
84,โรงพยาบาลชุมแพ,"รพ.ชุมแพ, ชุมแพ",โรงพยาบาลทั่วไป,7,ขอนแก่น,ชุมแพ,16.541254,101.998512
85,โรงพยาบาลสิรินธร จังหวัดขอนแก่น,รพ.สิรินธร ขอนแก่น,โรงพยาบาลทั่วไป,7,ขอนแก่น,บ้านแฮด,16.208512,102.748512
86,โรงพยาบาลน้ำพอง,รพ.น้ำพอง,โรงพยาบาลชุมชน,7,ขอนแก่น,น้ำพอง,16.698512,102.884512
87,โรงพยาบาลบ้านไผ่,รพ.บ้านไผ่,โรงพยาบาลชุมชน,7,ขอนแก่น,บ้านไผ่,16.054123,102.724512
88,โรงพยาบาลอุดรธานี,"รพ.อุดรธานี, อุดรธานี, รพศ.อุดรธานี",โรงพยาบาลศูนย์,8,อุดรธานี,เมืองอุดรธานี,17.412541,102.784512
89,โรงพยาบาลสกลนคร,"รพ.สกลนคร, สกลนคร",โรงพยาบาลศูนย์,8,สกลนคร,เมืองสกลนคร,17.154123,104.148512
90,โรงพยาบาลนครพนม,"รพ.นครพนม, นครพนม",โรงพยาบาลทั่วไป,8,นครพนม,เมืองนครพนม,17.398512,104.784512
91,โรงพยาบาลเลย,"รพ.เลย, เลย",โรงพยาบาลทั่วไป,8,เลย,เมืองเลย,17.484512,101.724512
92,โรงพยาบาลหนองคาย,"รพ.หนองคาย, หนองคาย",โรงพยาบาลทั่วไป,8,หนองคาย,เมืองหนองคาย,17.878512,102.741254
93,โรงพยาบาลหนองบัวลำภู,"รพ.หนองบัวลำภู, หนองบัวลำภู",โรงพยาบาลทั่วไป,8,หนองบัวลำภู,เมืองหนองบัวลำภู,17.204512,102.438512
94,โรงพยาบาลบึงกาฬ,"รพ.บึงกาฬ, บึงกาฬ",โรงพยาบาลทั่วไป,8,บึงกาฬ,เมืองบึงกาฬ,18.361254,103.654123
95,โรงพยาบาลกุมภวาปี,รพ.กุมภวาปี,โรงพยาบาลทั่วไป,8,อุดรธานี,กุมภวาปี,17.114512,102.974512
96,โรงพยาบาลสมเด็จพระยุพราชธาตุพนม,รพ.ธาตุพนม,โรงพยาบาลชุมชน,8,นครพนม,ธาตุพนม,16.941254,104.714512
97,โรงพยาบาลมหาราชนครราชสีมา,"รพ.มหาราชนครราชสีมา, รพ.มหาราชโคราช, มหาราชนครราชสีมา, รพ.โคราช",โรงพยาบาลศูนย์,9,นครราชสีมา,เมืองนครราชสีมา,14.981254,102.108512
98,โรงพยาบาลสุรินทร์,"รพ.สุรินทร์, สุรินทร์",โรงพยาบาลศูนย์,9,สุรินทร์,เมืองสุรินทร์,14.884512,103.494512
99,โรงพยาบาลบุรีรัมย์,"รพ.บุรีรัมย์, บุรีรัมย์",โรงพยาบาลศูนย์,9,บุรีรัมย์,เมืองบุรีรัมย์,14.998512,103.108512
100,โรงพยาบาลชัยภูมิ,"รพ.ชัยภูมิ, ชัยภูมิ",โรงพยาบาลทั่วไป,9,ชัยภูมิ,เมืองชัยภูมิ,15.808512,102.031254
101,โรงพยาบาลนางรอง,"รพ.นางรอง, นางรอง",โรงพยาบาลทั่วไป,9,บุรีรัมย์,นางรอง,14.628512,102.798512
102,โรงพยาบาลปากช่องนานา,"รพ.ปากช่องนานา, รพ.ปากช่อง",โรงพยาบาลทั่วไป,9,นครราชสีมา,ปากช่อง,14.698512,101.414512
103,โรงพยาบาลภูเขียวเฉลิมพระเกียรติ,รพ.ภูเขียว,โรงพยาบาลทั่วไป,9,ชัยภูมิ,ภูเขียว,16.368512,102.134512
104,โรงพยาบาลบัวใหญ่,รพ.บัวใหญ่,โรงพยาบาลทั่วไป,9,นครราชสีมา,บัวใหญ่,15.584512,102.424512
105,โรงพยาบาลพิมาย,รพ.พิมาย,โรงพยาบาลชุมชน,9,นครราชสีมา,พิมาย,15.218512,102.494512
106,โรงพยาบาลสรรพสิทธิประสงค์,"รพ.สรรพสิทธิประสงค์, รพ.สรรพสิทธิ์, สรรพสิทธิประสงค์, รพ.อุบลราชธานี",โรงพยาบาลศูนย์,10,อุบลราชธานี,เมืองอุบลราชธานี,15.228512,104.858512
107,โรงพยาบาลศรีสะเกษ,"รพ.ศรีสะเกษ, ศรีสะเกษ",โรงพยาบาลศูนย์,10,ศรีสะเกษ,เมืองศรีสะเกษ,15.114512,104.328512
108,โรงพยาบาลยโสธร,"รพ.ยโสธร, ยโสธร",โรงพยาบาลทั่วไป,10,ยโสธร,เมืองยโสธร,15.794512,104.148512
109,โรงพยาบาลอำนาจเจริญ,"รพ.อำนาจเจริญ, อำนาจเจริญ",โรงพยาบาลทั่วไป,10,อำนาจเจริญ,เมืองอำนาจเจริญ,15.861254,104.628512
110,โรงพยาบาลมุกดาหาร,"รพ.มุกดาหาร, มุกดาหาร",โรงพยาบาลทั่วไป,10,มุกดาหาร,เมืองมุกดาหาร,16.541254,104.724512
111,โรงพยาบาลวารินชำราบ,"รพ.วารินชำราบ, วารินชำราบ",โรงพยาบาลทั่วไป,10,อุบลราชธานี,วารินชำราบ,15.194512,104.864512
112,โรงพยาบาลสมเด็จพระยุพราชเดชอุดม,รพ.เดชอุดม,โรงพยาบาลทั่วไป,10,อุบลราชธานี,เดชอุดม,14.904512,105.074512
113,โรงพยาบาลกันทรลักษ์,รพ.กันทรลักษ์,โรงพยาบาลทั่วไป,10,ศรีสะเกษ,กันทรลักษ์,14.641254,104.654123
114,โรงพยาบาลตระการพืชผล,รพ.ตระการพืชผล,โรงพยาบาลชุมชน,10,อุบลราชธานี,ตระการพืชผล,15.614512,105.024512
115,โรงพยาบาลสุราษฎร์ธานี,"รพ.สุราษฎร์ธานี, สุราษฎร์ธานี, รพศ.สุราษฎร์ธานี",โรงพยาบาลศูนย์,11,สุราษฎร์ธานี,เมืองสุราษฎร์ธานี,9.134512,99.332541
116,โรงพยาบาลมหาราชนครศรีธรรมราช,"รพ.มหาราชนครศรีธรรมราช, รพ.มหาราช นครศรีธรรมราช, มหาราชนครศรีธรรมราช",โรงพยาบาลศูนย์,11,นครศรีธรรมราช,เมืองนครศรีธรรมราช,8.412541,99.968512
117,โรงพยาบาลวชิระภูเก็ต,"รพ.วชิระภูเก็ต, วชิระภูเก็ต, รพ.ภูเก็ต",โรงพยาบาลศูนย์,11,ภูเก็ต,เมืองภูเก็ต,7.898512,98.384512
118,โรงพยาบาลชุมพรเขตรอุดมศักดิ์,"รพ.ชุมพรเขตรอุดมศักดิ์, รพ.ชุมพร",โรงพยาบาลทั่วไป,11,ชุมพร,เมืองชุมพร,10.494512,99.178512
119,โรงพยาบาลระนอง,"รพ.ระนอง, ระนอง",โรงพยาบาลทั่วไป,11,ระนอง,เมืองระนอง,9.964512,98.634512
120,โรงพยาบาลพังงา,"รพ.พังงา, พังงา",โรงพยาบาลทั่วไป,11,พังงา,เมืองพังงา,8.448512,98.528512
121,โรงพยาบาลตะกั่วป่า,"รพ.ตะกั่วป่า, ตะกั่วป่า",โรงพยาบาลทั่วไป,11,พังงา,ตะกั่วป่า,8.884512,98.364512
122,โรงพยาบาลกระบี่,"รพ.กระบี่, กระบี่",โรงพยาบาลทั่วไป,11,กระบี่,เมืองกระบี่,8.064512,98.914512
123,โรงพยาบาลเกาะสมุย,"รพ.เกาะสมุย, เกาะสมุย",โรงพยาบาลทั่วไป,11,สุราษฎร์ธานี,เกาะสมุย,9.534512,99.934512
124,โรงพยาบาลท่าศาลา,รพ.ท่าศาลา,โรงพยาบาลทั่วไป,11,นครศรีธรรมราช,ท่าศาลา,8.664512,99.924512
125,โรงพยาบาลทุ่งสง,รพ.ทุ่งสง,โรงพยาบาลทั่วไป,11,นครศรีธรรมราช,ทุ่งสง,8.164512,99.684512
126,โรงพยาบาลหาดใหญ่,"รพ.หาดใหญ่, หาดใหญ่, รพศ.หาดใหญ่",โรงพยาบาลศูนย์,12,สงขลา,หาดใหญ่,7.014512,100.468512
127,โรงพยาบาลยะลา,"รพ.ยะลา, ยะลา, รพศ.ยะลา",โรงพยาบาลศูนย์,12,ยะลา,เมืองยะลา,6.541254,101.284512
128,โรงพยาบาลตรัง,"รพ.ตรัง, ตรัง, รพศ.ตรัง",โรงพยาบาลศูนย์,12,ตรัง,เมืองตรัง,7.558512,99.614512
129,โรงพยาบาลสงขลา,"รพ.สงขลา, สงขลา",โรงพยาบาลทั่วไป,12,สงขลา,เมืองสงขลา,7.164512,100.608512
130,โรงพยาบาลปัตตานี,"รพ.ปัตตานี, ปัตตานี",โรงพยาบาลทั่วไป,12,ปัตตานี,เมืองปัตตานี,6.868512,101.254123
131,โรงพยาบาลนราธิวาสราชนครินทร์,"รพ.นราธิวาสราชนครินทร์, รพ.นราธิวาส",โรงพยาบาลทั่วไป,12,นราธิวาส,เมืองนราธิวาส,6.425412,101.824512
132,โรงพยาบาลสุไหงโก-ลก,"รพ.สุไหงโก-ลก, สุไหงโก-ลก",โรงพยาบาลทั่วไป,12,นราธิวาส,สุไหงโก-ลก,6.028512,101.968512
133,โรงพยาบาลพัทลุง,"รพ.พัทลุง, พัทลุง",โรงพยาบาลทั่วไป,12,พัทลุง,เมืองพัทลุง,7.618512,100.078512
134,โรงพยาบาลสตูล,"รพ.สตูล, สตูล",โรงพยาบาลทั่วไป,12,สตูล,เมืองสตูล,6.618512,100.068512
135,โรงพยาบาลเบตง,"รพ.เบตง, เบตง",โรงพยาบาลทั่วไป,12,ยะลา,เบตง,5.774512,101.074512
